dataset,model,strategy,time_seconds,vram_peak_gb,cpu_ram_delta_gb,cached
deepfaketextdetect,llada_8b_base,score,4295.096617937088,0.0,0.09416580200195312,False
deepfaketextdetect,llada_8b_base,pawn,43214.51690196991,0.0,-0.1951141357421875,False
deepfaketextdetect,llada_8b_base,embedding,4310.246112108231,0.0,0.000293731689453125,False
deepfaketextdetect,llada_8b_base,zero_shot,4353.654488325119,0.0,-0.00696563720703125,False
deepfaketextdetect,gpt2,score,395.5537438392639,6.662822723388672,0.00588226318359375,False
deepfaketextdetect,gpt2,pawn,408.99365973472595,7.129065036773682,0.0009002685546875,False
deepfaketextdetect,gpt2,embedding,392.7377498149872,6.662718296051025,0.0001220703125,False
deepfaketextdetect,gpt2,zero_shot,385.83516478538513,3.005018711090088,-0.0007171630859375,False
deepfaketextdetect,llama2_7b,score,1641.646606206894,0.0,0.014453887939453125,False
deepfaketextdetect,llama2_7b,pawn,1649.5421843528748,0.0,7.2479248046875e-05,False
deepfaketextdetect,llama2_7b,embedding,1639.8859264850616,0.0,0.000240325927734375,False
deepfaketextdetect,llama2_7b,zero_shot,1638.3286292552948,0.0,5.340576171875e-05,False
deepfaketextdetect,llama3_1_8b,score,1754.543199300766,0.0,0.000308990478515625,False
deepfaketextdetect,llama3_1_8b,pawn,1787.954790353775,0.0,0.000720977783203125,False
deepfaketextdetect,llama3_1_8b,embedding,1748.188051700592,0.0,-3.814697265625e-06,False
deepfaketextdetect,llama3_1_8b,zero_shot,1747.6158192157745,0.0,1.1444091796875e-05,False
deepfaketextdetect,gpt3_proxy,score,702.5188939571381,0.0,0.00128936767578125,False
deepfaketextdetect,gpt3_proxy,pawn,716.0994596481323,0.0,0.00096893310546875,False
deepfaketextdetect,gpt3_proxy,embedding,703.4732959270477,0.0,0.00016021728515625,False
deepfaketextdetect,gpt3_proxy,zero_shot,699.1855127811432,0.0,0.000179290771484375,False
deepfaketextdetect,bert,score,91.65053129196167,5.661642551422119,0.002216339111328125,False
deepfaketextdetect,bert,pawn,100.1136622428894,6.20254373550415,0.0,False
deepfaketextdetect,bert,embedding,93.4161286354065,5.661642551422119,0.0,False
deepfaketextdetect,bert,zero_shot,82.92137002944946,5.662868499755859,0.0,False
deepfaketextdetect,roberta,score,96.42555165290833,5.827908992767334,0.0008087158203125,False
deepfaketextdetect,roberta,pawn,113.89300346374512,6.795924663543701,0.0,False
deepfaketextdetect,roberta,embedding,94.53126621246338,5.827908992767334,3.814697265625e-06,False
deepfaketextdetect,roberta,zero_shot,88.04058337211609,5.827700614929199,0.0,False
deepfaketextdetect,modernbert,score,176.58946990966797,5.99087381362915,0.007274627685546875,False
deepfaketextdetect,modernbert,pawn,148.58609914779663,6.9037346839904785,7.62939453125e-05,False
deepfaketextdetect,modernbert,embedding,136.26030039787292,5.99087381362915,0.0,False
deepfaketextdetect,modernbert,zero_shot,125.6924946308136,5.988973140716553,0.000156402587890625,False
